geneId	chromosome	geneStart	geneEnd	paralogId	paralogChr	paralogStart	paralogEnd
AT1G07930.TAIR10	Chr1	2458244	2460790	AT1G07920.TAIR10	Chr1	2454846	2457321
AT1G07930.TAIR10	Chr1	2458244	2460790	AT5G60390.TAIR10	Chr5	24288658	24291020
AT1G07940.TAIR10	Chr1	2462953	2465467	AT1G07930.TAIR10	Chr1	2458244	2460790
AT1G07940.TAIR10	Chr1	2462953	2465467	AT1G07920.TAIR10	Chr1	2454846	2457321
AT1G07940.TAIR10	Chr1	2462953	2465467	AT5G60390.TAIR10	Chr5	24288658	24291020
AT1G08090.TAIR10	Chr1	2524076	2526164	AT1G08100.TAIR10	Chr1	2527170	2529120
AT1G08100.TAIR10	Chr1	2527170	2529120	AT1G08090.TAIR10	Chr1	2524076	2526164
AT1G08190.TAIR10	Chr1	2567475	2573393	AT5G03710.TAIR10	Chr5	971107	971627
AT1G08200.TAIR10	Chr1	2573848	2576714	AT2G27860.TAIR10	Chr2	11864393	11866907
AT1G08360.TAIR10	Chr1	2636011	2637915	AT5G22440.TAIR10	Chr5	7435076	7436652
AT1G08360.TAIR10	Chr1	2636011	2637915	AT2G27530.TAIR10	Chr2	11763217	11764769
AT1G08420.TAIR10	Chr1	2649773	2657061	AT2G27210.TAIR10	Chr2	11629919	11636708
AT1G08730.TAIR10	Chr1	2779963	2788447	AT1G54560.TAIR10	Chr1	20371649	20379745
AT1G08880.TAIR10	Chr1	2846949	2847800	AT1G54690.TAIR10	Chr1	20414316	20415287
AT1G09100.TAIR10	Chr1	2936528	2939326	AT3G05530.TAIR10	Chr3	1603400	1606231
AT1G09157.TAIR10	Chr1	2951665	2952396	AT5G39650.TAIR10	Chr5	15875199	15876116
AT1G09200.TAIR10	Chr1	2971593	2972199	AT5G10390.TAIR10	Chr5	3268847	3269550
AT1G09200.TAIR10	Chr1	2971593	2972199	AT5G10400.TAIR10	Chr5	3270289	3270952
AT1G09200.TAIR10	Chr1	2971593	2972199	AT5G10980.TAIR10	Chr5	3472405	3473466
AT1G09200.TAIR10	Chr1	2971593	2972199	AT5G65350.TAIR10	Chr5	26119211	26119825
AT1G09200.TAIR10	Chr1	2971593	2972199	AT4G40030.TAIR10	Chr4	18555618	18556878
AT1G09200.TAIR10	Chr1	2971593	2972199	AT3G27360.TAIR10	Chr3	10129105	10129937
AT1G09200.TAIR10	Chr1	2971593	2972199	AT4G40040.TAIR10	Chr4	18557187	18558743
AT1G09200.TAIR10	Chr1	2971593	2972199	AT5G65360.TAIR10	Chr5	26119859	26120581
AT1G09590.TAIR10	Chr1	3106502	3107772	AT1G57660.TAIR10	Chr1	21355520	21356537
AT1G09590.TAIR10	Chr1	3106502	3107772	AT1G09690.TAIR10	Chr1	3136188	3137475
AT1G09590.TAIR10	Chr1	3106502	3107772	AT1G57860.TAIR10	Chr1	21429898	21430865
AT1G09690.TAIR10	Chr1	3136188	3137475	AT1G57660.TAIR10	Chr1	21355520	21356537
AT1G09690.TAIR10	Chr1	3136188	3137475	AT1G09590.TAIR10	Chr1	3106502	3107772
AT1G09690.TAIR10	Chr1	3136188	3137475	AT1G57860.TAIR10	Chr1	21429898	21430865
AT1G09995.TAIR10	Chr1	3262265	3263612	AT1G79890.TAIR10	Chr1	30048655	30052203
AT1G10210.TAIR10	Chr1	3349219	3351180	AT1G59580.TAIR10	Chr1	21884043	21886051
AT1G10250.TAIR10	Chr1	3360087	3360508	AT1G10450.TAIR10	Chr1	3431780	3438370
AT1G10290.TAIR10	Chr1	3370558	3377463	AT1G59610.TAIR10	Chr1	21893221	21901086
AT1G10430.TAIR10	Chr1	3428478	3430633	AT1G59830.TAIR10	Chr1	22020519	22022484
AT1G10430.TAIR10	Chr1	3428478	3430633	AT1G69960.TAIR10	Chr1	26348721	26350697
AT1G10450.TAIR10	Chr1	3431780	3438370	AT1G10250.TAIR10	Chr1	3360087	3360508
AT1G10630.TAIR10	Chr1	3512795	3514729	AT1G70490.TAIR10	Chr1	26563924	26565789
AT1G10630.TAIR10	Chr1	3512795	3514729	AT1G23490.TAIR10	Chr1	8336683	8338672
AT1G10630.TAIR10	Chr1	3512795	3514729	AT3G62290.TAIR10	Chr3	23051544	23053817
AT1G10630.TAIR10	Chr1	3512795	3514729	AT5G14670.TAIR10	Chr5	4729319	4730495
AT1G10630.TAIR10	Chr1	3512795	3514729	AT2G47170.TAIR10	Chr2	19366623	19368840
AT1G10670.TAIR10	Chr1	3535383	3538281	AT1G60810.TAIR10	Chr1	22388527	22391165
AT1G11590.TAIR10	Chr1	3892580	3894677	AT3G27980.TAIR10	Chr3	10393904	10395861
AT1G11593.TAIR10	Chr1	3898002	3898609	AT4G03945.TAIR10	Chr4	1877872	1878545
AT1G12040.TAIR10	Chr1	4070124	4072567	AT2G24980.TAIR10	Chr2	10622453	10624132
AT1G12040.TAIR10	Chr1	4070124	4072567	AT5G06630.TAIR10	Chr5	2036361	2037843
AT1G12040.TAIR10	Chr1	4070124	4072567	AT3G54590.TAIR10	Chr3	20206160	20208472
AT1G12040.TAIR10	Chr1	4070124	4072567	AT4G08410.TAIR10	Chr4	5339086	5341209
AT1G12040.TAIR10	Chr1	4070124	4072567	AT1G23720.TAIR10	Chr1	8388655	8391540
AT1G12040.TAIR10	Chr1	4070124	4072567	AT3G54580.TAIR10	Chr3	20200688	20203782
AT1G12040.TAIR10	Chr1	4070124	4072567	AT1G26240.TAIR10	Chr1	9078140	9079576
AT1G12040.TAIR10	Chr1	4070124	4072567	AT1G26250.TAIR10	Chr1	9083838	9085464
AT1G12040.TAIR10	Chr1	4070124	4072567	AT3G28550.TAIR10	Chr3	10700707	10703929
AT1G12040.TAIR10	Chr1	4070124	4072567	AT4G08400.TAIR10	Chr4	5323800	5325341
AT1G12310.TAIR10	Chr1	4187165	4188056	AT1G62820.TAIR10	Chr1	23263671	23264349
AT1G12340.TAIR10	Chr1	4197396	4198310	AT1G12390.TAIR10	Chr1	4220100	4221774
AT1G12390.TAIR10	Chr1	4220100	4221774	AT1G12340.TAIR10	Chr1	4197396	4198310
AT1G12900.TAIR10	Chr1	4392450	4394400	AT3G26650.TAIR10	Chr3	9795071	9797045
AT1G12920.TAIR10	Chr1	4396348	4398193	AT3G26618.TAIR10	Chr3	9788605	9790351
AT1G12920.TAIR10	Chr1	4396348	4398193	AT5G47880.TAIR10	Chr5	19386100	19388562
AT1G13060.TAIR10	Chr1	4452212	4454876	AT3G26340.TAIR10	Chr3	9650417	9652897
AT1G13320.TAIR10	Chr1	4563471	4567807	AT3G25800.TAIR10	Chr3	9422588	9426044
AT1G13370.TAIR10	Chr1	4587780	4588613	AT5G10980.TAIR10	Chr5	3472405	3473466
AT1G13370.TAIR10	Chr1	4587780	4588613	AT4G40030.TAIR10	Chr4	18555618	18556878
AT1G13370.TAIR10	Chr1	4587780	4588613	AT1G75600.TAIR10	Chr1	28390665	28391493
AT1G13370.TAIR10	Chr1	4587780	4588613	AT4G40040.TAIR10	Chr4	18557187	18558743
AT1G13440.TAIR10	Chr1	4608196	4610647	AT3G04120.TAIR10	Chr3	1080950	1083530
AT1G14185.TAIR10	Chr1	4850274	4852096	AT1G14190.TAIR10	Chr1	4852802	4854307
AT1G14190.TAIR10	Chr1	4852802	4854307	AT1G14185.TAIR10	Chr1	4850274	4852096
AT1G14320.TAIR10	Chr1	4888214	4889661	AT1G26910.TAIR10	Chr1	9321650	9322965
AT1G14320.TAIR10	Chr1	4888214	4889661	AT1G66580.TAIR10	Chr1	24839165	24840612
AT1G14400.TAIR10	Chr1	4927011	4928533	AT2G02760.TAIR10	Chr2	773684	775371
AT1G14450.TAIR10	Chr1	4946218	4947576	AT2G02510.TAIR10	Chr2	673305	674740
AT1G14530.TAIR10	Chr1	4970858	4973726	AT2G02180.TAIR10	Chr2	560864	563233
AT1G14670.TAIR10	Chr1	5037612	5040528	AT2G01970.TAIR10	Chr2	451871	454885
AT1G15250.TAIR10	Chr1	5248664	5249474	AT1G52300.TAIR10	Chr1	19474898	19476234
AT1G15250.TAIR10	Chr1	5248664	5249474	AT3G16080.TAIR10	Chr3	5454818	5455927
AT1G15270.TAIR10	Chr1	5250650	5252121	AT3G16040.TAIR10	Chr3	5443091	5443952
AT1G15500.TAIR10	Chr1	5326290	5328874	AT1G80300.TAIR10	Chr1	30191856	30194519
AT1G15750.TAIR10	Chr1	5414817	5420630	AT1G80490.TAIR10	Chr1	30260903	30267038
AT1G15960.TAIR10	Chr1	5481665	5485082	AT1G80830.TAIR10	Chr1	30372879	30375696
AT1G15990.TAIR10	Chr1	5491304	5493772	AT1G19780.TAIR10	Chr1	6833885	6836578
AT1G16010.TAIR10	Chr1	5495373	5497720	AT1G80900.TAIR10	Chr1	30398150	30400340
AT1G16340.TAIR10	Chr1	5587790	5590642	AT1G79500.TAIR10	Chr1	29903420	29909437
AT1G16470.TAIR10	Chr1	5622786	5625643	AT1G79210.TAIR10	Chr1	29796081	29798744
AT1G16700.TAIR10	Chr1	5709725	5711902	AT1G79010.TAIR10	Chr1	29724879	29727028
AT1G16780.TAIR10	Chr1	5739299	5744214	AT1G78920.TAIR10	Chr1	29671493	29676992
AT1G16890.TAIR10	Chr1	5776177	5778484	AT1G78870.TAIR10	Chr1	29650463	29652517
AT1G17280.TAIR10	Chr1	5916871	5920089	AT5G50430.TAIR10	Chr5	20534173	20537071
AT1G17470.TAIR10	Chr1	6002912	6006405	AT1G72660.TAIR10	Chr1	27353791	27356670
AT1G17730.TAIR10	Chr1	6099089	6100315	AT1G73030.TAIR10	Chr1	27473826	27475122
AT1G17880.TAIR10	Chr1	6152409	6153982	AT1G73230.TAIR10	Chr1	27540228	27541944
AT1G17990.TAIR10	Chr1	6192071	6194093	AT1G18020.TAIR10	Chr1	6202249	6203918
AT1G18000.TAIR10	Chr1	6194543	6196229	AT1G18010.TAIR10	Chr1	6199898	6201484
AT1G18010.TAIR10	Chr1	6199898	6201484	AT1G18000.TAIR10	Chr1	6194543	6196229
AT1G18020.TAIR10	Chr1	6202249	6203918	AT1G17990.TAIR10	Chr1	6192071	6194093
AT1G18320.TAIR10	Chr1	6304360	6305689	AT3G10110.TAIR10	Chr3	3116110	3117671
AT1G18330.TAIR10	Chr1	6305971	6308010	AT3G10113.TAIR10	Chr3	3118043	3119391
AT1G18500.TAIR10	Chr1	6369347	6373025	AT1G74040.TAIR10	Chr1	27842171	27845776
AT1G18950.TAIR10	Chr1	6546399	6551887	AT5G03710.TAIR10	Chr5	971107	971627
AT1G19080.TAIR10	Chr1	6584241	6586517	AT3G55490.TAIR10	Chr3	20572024	20573682
AT1G19260.TAIR10	Chr1	6657260	6659569	AT3G29765.TAIR10	Chr3	11595467	11597077
AT1G19260.TAIR10	Chr1	6657260	6659569	AT3G29763.TAIR10	Chr3	11593924	11595441
AT1G19260.TAIR10	Chr1	6657260	6659569	AT4G09660.TAIR10	Chr4	6104446	6106607
AT1G19450.TAIR10	Chr1	6731434	6734882	AT1G75220.TAIR10	Chr1	28229157	28232831
AT1G19550.TAIR10	Chr1	6767451	6767983	AT1G19570.TAIR10	Chr1	6773302	6774528
AT1G19570.TAIR10	Chr1	6773302	6774528	AT1G19550.TAIR10	Chr1	6767451	6767983
AT1G19750.TAIR10	Chr1	6826997	6830063	AT1G27840.TAIR10	Chr1	9693008	9696364
AT1G19780.TAIR10	Chr1	6833885	6836578	AT1G15990.TAIR10	Chr1	5491304	5493772
AT1G19910.TAIR10	Chr1	6913229	6914594	AT4G38920.TAIR10	Chr4	18147211	18149267
AT1G19910.TAIR10	Chr1	6913229	6914594	AT4G34720.TAIR10	Chr4	16567824	16569295
AT1G19910.TAIR10	Chr1	6913229	6914594	AT2G16510.TAIR10	Chr2	7159629	7160892
AT1G19910.TAIR10	Chr1	6913229	6914594	AT1G75630.TAIR10	Chr1	28400544	28402355
AT1G20010.TAIR10	Chr1	6937795	6940582	AT2G29550.TAIR10	Chr2	12644047	12646037
AT1G20010.TAIR10	Chr1	6937795	6940582	AT5G12250.TAIR10	Chr5	3961106	3963522
AT1G20010.TAIR10	Chr1	6937795	6940582	AT1G75780.TAIR10	Chr1	28451141	28453640
AT1G20010.TAIR10	Chr1	6937795	6940582	AT5G62700.TAIR10	Chr5	25184397	25186711
AT1G20010.TAIR10	Chr1	6937795	6940582	AT5G23860.TAIR10	Chr5	8042876	8044819
AT1G20010.TAIR10	Chr1	6937795	6940582	AT4G20890.TAIR10	Chr4	11182092	11184072
AT1G20010.TAIR10	Chr1	6937795	6940582	AT5G44340.TAIR10	Chr5	17859195	17861101
AT1G20010.TAIR10	Chr1	6937795	6940582	AT5G62690.TAIR10	Chr5	25181415	25183729
AT1G20090.TAIR10	Chr1	6966922	6968933	AT1G75840.TAIR10	Chr1	28475707	28477802
AT1G20200.TAIR10	Chr1	7001201	7004418	AT1G75990.TAIR10	Chr1	28524493	28526776
AT1G20260.TAIR10	Chr1	7016693	7020590	AT4G38510.TAIR10	Chr4	18011117	18015171
AT1G20260.TAIR10	Chr1	7016693	7020590	AT1G76030.TAIR10	Chr1	28533798	28537194
AT1G20280.TAIR10	Chr1	7023829	7024212	AT1G61200.TAIR10	Chr1	22563033	22563420
AT1G20460.TAIR10	Chr1	7091361	7092993	AT1G76185.TAIR10	Chr1	28590325	28591518
AT1G20590.TAIR10	Chr1	7131166	7132183	AT1G20610.TAIR10	Chr1	7134790	7137781
AT1G20610.TAIR10	Chr1	7134790	7137781	AT1G20590.TAIR10	Chr1	7131166	7132183
AT1G20720.TAIR10	Chr1	7185658	7192794	AT2G05635.TAIR10	Chr2	2089484	2090454
AT1G20900.TAIR10	Chr1	7272556	7274072	AT4G36230.TAIR10	Chr4	17145586	17146251
AT1G21100.TAIR10	Chr1	7386839	7388428	AT1G21120.TAIR10	Chr1	7395228	7396773
AT1G21100.TAIR10	Chr1	7386839	7388428	AT1G21110.TAIR10	Chr1	7389981	7391553
AT1G21100.TAIR10	Chr1	7386839	7388428	AT1G21130.TAIR10	Chr1	7399062	7400605
AT1G21110.TAIR10	Chr1	7389981	7391553	AT1G21120.TAIR10	Chr1	7395228	7396773
AT1G21110.TAIR10	Chr1	7389981	7391553	AT1G21100.TAIR10	Chr1	7386839	7388428
AT1G21110.TAIR10	Chr1	7389981	7391553	AT1G21130.TAIR10	Chr1	7399062	7400605
AT1G21120.TAIR10	Chr1	7395228	7396773	AT1G21100.TAIR10	Chr1	7386839	7388428
AT1G21120.TAIR10	Chr1	7395228	7396773	AT1G21110.TAIR10	Chr1	7389981	7391553
AT1G21120.TAIR10	Chr1	7395228	7396773	AT1G21130.TAIR10	Chr1	7399062	7400605
AT1G21130.TAIR10	Chr1	7399062	7400605	AT1G21120.TAIR10	Chr1	7395228	7396773
AT1G21130.TAIR10	Chr1	7399062	7400605	AT1G21100.TAIR10	Chr1	7386839	7388428
AT1G21130.TAIR10	Chr1	7399062	7400605	AT1G21110.TAIR10	Chr1	7389981	7391553
AT1G21240.TAIR10	Chr1	7434303	7436830	AT1G21245.TAIR10	Chr1	7436842	7437342
AT1G21245.TAIR10	Chr1	7436842	7437342	AT1G21240.TAIR10	Chr1	7434303	7436830
AT1G21310.TAIR10	Chr1	7453236	7455009	AT1G76930.TAIR10	Chr1	28895301	28896883
AT1G21320.TAIR10	Chr1	7462834	7465334	AT1G21326.TAIR10	Chr1	7469002	7469721
AT1G21326.TAIR10	Chr1	7469002	7469721	AT1G21320.TAIR10	Chr1	7462834	7465334
AT1G21650.TAIR10	Chr1	7592854	7604229	AT1G21651.TAIR10	Chr1	7600805	7604215
AT1G21651.TAIR10	Chr1	7600805	7604215	AT1G21650.TAIR10	Chr1	7592854	7604229
AT1G21720.TAIR10	Chr1	7626283	7628262	AT1G77440.TAIR10	Chr1	29096020	29098450
AT1G21864.TAIR10	Chr1	7675502	7675971	AT1G21866.TAIR10	Chr1	7677499	7677959
AT1G21866.TAIR10	Chr1	7677499	7677959	AT1G21864.TAIR10	Chr1	7675502	7675971
AT1G21870.TAIR10	Chr1	7678208	7679697	AT1G77610.TAIR10	Chr1	29165210	29167773
AT1G21910.TAIR10	Chr1	7696536	7697699	AT5G26673.TAIR10	Chr5	9279309	9279611
AT1G21910.TAIR10	Chr1	7696536	7697699	AT4G30450.TAIR10	Chr4	14886027	14886675
AT1G21925.TAIR10	Chr1	7710423	7710725	AT1G21928.TAIR10	Chr1	7712211	7712513
AT1G21928.TAIR10	Chr1	7712211	7712513	AT1G21925.TAIR10	Chr1	7710423	7710725
AT1G21930.TAIR10	Chr1	7712898	7714443	AT3G42150.TAIR10	Chr3	14309314	14311638
AT1G22780.TAIR10	Chr1	8067864	8069342	AT1G34030.TAIR10	Chr1	12370065	12371553
AT1G22780.TAIR10	Chr1	8067864	8069342	AT4G09800.TAIR10	Chr4	6173715	6175200
AT1G23190.TAIR10	Chr1	8219869	8224469	AT1G70730.TAIR10	Chr1	26669020	26673166
AT1G23290.TAIR10	Chr1	8262984	8263587	AT1G70600.TAIR10	Chr1	26620923	26621659
AT1G23310.TAIR10	Chr1	8268416	8271933	AT1G70580.TAIR10	Chr1	26612632	26616069
AT1G23410.TAIR10	Chr1	8314924	8315531	AT3G62250.TAIR10	Chr3	23037094	23037797
AT1G23410.TAIR10	Chr1	8314924	8315531	AT5G37640.TAIR10	Chr5	14952782	14953750
AT1G23410.TAIR10	Chr1	8314924	8315531	AT1G65350.TAIR10	Chr1	24272518	24277275
AT1G23410.TAIR10	Chr1	8314924	8315531	AT1G55060.TAIR10	Chr1	20549533	20550225
AT1G23410.TAIR10	Chr1	8314924	8315531	AT2G47110.TAIR10	Chr2	19344635	19345345
AT1G23410.TAIR10	Chr1	8314924	8315531	AT4G05320.TAIR10	Chr4	2718170	2720308
