C1_00010W_A	C1_00010W_B
C1_01260C_A	C1_01260C_B
C1_01270W_A	C1_01270W_B
C1_01280C_A	C1_01280C_B
C1_01290C_A	C1_01290C_B
C1_01300W_A	C1_01300W_B
C1_01310W_A	C1_01310W_B
C1_01320W_A	C1_01320W_B
C1_01330C_A	C1_01330C_B
C1_01340C_A	C1_01340C_B
C1_01350C_A	C1_01350C_B
C1_01360C_A	C1_01360C_B
C1_01370C_A	C1_01370C_B
C1_01380C_A	C1_01380C_B
C1_01390C_A	C1_01390C_B
C1_01400C_A	C1_01400C_B
C1_01420C_A	C1_01420C_B
C1_01440C_A	C1_01440C_B
C1_01450W_A	C1_01450W_B
C1_01460W_A	C1_01460W_B
C1_01470W_A	C1_01470W_B
C1_01480C_A	C1_01480C_B
C1_01490W_A	C1_01490W_B
C1_01500W_A	C1_01500W_B
C1_01510W_A	C1_01510W_B
C1_01520C_A	C1_01520C_B
C1_01530C_A	C1_01530C_B
C1_01540W_A	C1_01540W_B
C1_01550W_A	C1_01550W_B
C1_01560W_A	C1_01560W_B
C1_01570C_A	C1_01570C_B
C1_01580W_A	C1_01580W_B
C1_01590C_A	C1_01590C_B
C1_01600W_A	C1_01600W_B
C1_01610C_A	C1_01610C_B
C1_01620C_A	C1_01620C_B
C1_01630W_A	C1_01630W_B
C1_01640W_A	C1_01640W_B	C2_10620W_A	C2_10620W_B
C1_01650W_A	C1_01650W_B
C1_01680C_A	C1_01680C_B
C1_01690C_A	C1_01690C_B
C1_01700W_A	C1_01700W_B
C1_01710W_A	C1_01710W_B
C1_01740W_A	C1_01740W_B
C1_01750W_A	C1_01750W_B
C1_01760W_A	C1_01760W_B
C1_01770W_A	C1_01770W_B
C1_01780C_A	C1_01780C_B
C1_01790W_A	C1_01790W_B
C1_01800W_A	C1_01800W_B
C1_01810C_A	C1_01810C_B
C1_01820C_A	C1_01820C_B
C1_01830C_A	C1_01830C_B
C1_01840C_A	C1_01840C_B
C1_01850C_A	C1_01850C_B
C1_01860W_A	C1_01860W_B
C1_01870C_A	C1_01870C_B
C1_01880C_A	C1_01880C_B
C1_01890C_A	C1_01890C_B
C1_01900C_A	C1_01900C_B
C1_01910W_A	C1_01910W_B
C1_01920W_A	C1_01920W_B
C1_01930W_A	C1_01930W_B
C1_01940C_A	C1_01940C_B
C1_01950C_A	C1_01950C_B
C1_01970W_A	C1_01970W_B
C1_01980W_A	C1_01980W_B	C1_02110C_B	C1_02110C_A
C1_01990W_A	C1_01990W_B
C1_02000W_A	C1_02000W_B
C1_02010C_A	C1_02010C_B
C1_02020W_A	C1_02020W_B
C1_02030C_A	C1_02030C_B
C1_02040C_A	C1_02040C_B
C1_02050C_A	C1_02050C_B
C1_02060W_A	C1_02060W_B
C1_02070W_A	C1_02070W_B
C1_02080W_A	C1_02080W_B
C1_02090C_A	C1_02090C_B
C1_02100W_A	C1_02100W_B
C1_02120C_A	C1_02120C_B
C1_02130C_A	C1_02130C_B
C1_02140C_A	C1_02140C_B
C1_02150W_A	C1_02150W_B
C1_02160W_A	C1_02160W_B
C1_02170C_A	C1_02170C_B
C1_02180W_A	C1_02180W_B
C1_02190W_A	C1_02190W_B
C1_02200C_A	C1_02200C_B
C1_02210W_A	C1_02210W_B
C1_02220C_A	C1_02220C_B
C1_02230W_A	C1_02230W_B
C1_02240W_A	C1_02240W_B
C1_02250W_A	C1_02250W_B
C1_02260C_A	C1_02260C_B
C1_02270C_A	C1_02270C_B
C1_02280C_A	C1_02280C_B
C1_02290C_A	C1_02290C_B
C1_02300W_A	C1_02300W_B
C1_02310C_A	C1_02310C_B
C1_02320C_A	C1_02320C_B
C1_02330C_A	C1_02330C_B
C1_02350W_A	C1_02350W_B
C1_02370C_A	C1_02370C_B
C1_02380C_A	C1_02380C_B
C1_02400C_A	C1_02400C_B
C1_02410C_A	C1_02410C_B
C1_02420C_A	C1_02420C_B
C1_02430C_A	C1_02430C_B
C1_02440C_A	C1_02440C_B
C1_02450C_A	C1_02450C_B
C1_02460W_A	C1_02460W_B
C1_02470W_A	C1_02470W_B
C1_02480W_A	C1_02480W_B
C1_02490C_A	C1_02490C_B
C1_02500W_A	C1_02500W_B
C1_02510W_A	C1_02510W_B
C1_02520W_A	C1_02520W_B
C1_02530C_A	C1_02530C_B
C1_02560W_A	C1_02560W_B
C1_02570C_A	C1_02570C_B
C1_02580W_A	C1_02580W_B
C1_02590C_A	C1_02590C_B
C1_02600W_A	C1_02600W_B
C1_02610W_A	C1_02610W_B
C1_02620C_A	C1_02620C_B
C1_02630C_A	C1_02630C_B
C1_02640C_A	C1_02640C_B
C1_02650W_A	C1_02650W_B
C1_02660C_A	C1_02660C_B
C1_02670C_A	C1_02670C_B
C1_02680C_A	C1_02680C_B
C1_02690C_A	C1_02690C_B
C1_02700C_A	C1_02700C_B
C1_02710W_A	C1_02710W_B
C1_02720W_A	C1_02720W_B
C1_02730W_A	C1_02730W_B
C1_02740C_A	C1_02740C_B
C1_02750C_A	C1_02750C_B
C1_02760W_A	C1_02760W_B
C1_02770W_A	C1_02770W_B
C1_02780W_A	C1_02780W_B
C1_02790W_A	C1_02790W_B
C1_02800W_A	C1_02800W_B
C1_02810W_A	C1_02810W_B
C1_02820W_A	C1_02820W_B
C1_02830W_A	C1_02830W_B
C1_02840W_A	C1_02840W_B
C1_02850W_A	C1_02850W_B
C1_02860C_A	C1_02860C_B
C1_02870W_A	C1_02870W_B
C1_02880C_A	C1_02880C_B
C1_02890C_A	C1_02890C_B
C1_02900C_A	C1_02900C_B
C1_02910C_A	C1_02910C_B
C1_02920W_A	C1_02920W_B
C1_02930C_A	C1_02930C_B
C1_02940C_A	C1_02940C_B
C1_02950W_A	C1_02950W_B
C1_02960C_A	C1_02960C_B
C1_02970W_A	C1_02970W_B
C1_02980W_A	C1_02980W_B
C1_02990C_A	C1_02990C_B
C1_03000W_A	C1_03000W_B
C1_03010W_A	C1_03010W_B
C1_03020C_A	C1_03020C_B
C1_03030W_A	C1_03030W_B
C1_03040W_A	C1_03040W_B
C1_03050W_A	C1_03050W_B
C1_03060C_A	C1_03060C_B
C1_03070C_A	C1_03070C_B
C1_03080C_A	C1_03080C_B
C1_03090W_A	C1_03090W_B
C1_03100W_A	C1_03100W_B
C1_03110W_A	C1_03110W_B
C1_03120W_A	C1_03120W_B
C1_03130C_A	C1_03130C_B
C1_03140W_A	C1_03140W_B
C1_03150C_A	C1_03150C_B
C1_03160C_A	C1_03160C_B
C1_03170C_A	C1_03170C_B
C1_03180W_A	C1_03180W_B
C1_03190C_A	C1_03190C_B
C1_03200C_A	C1_03200C_B
C1_03210C_A	C1_03210C_B
C1_03220C_A	C1_03220C_B
C1_03230C_A	C1_03230C_B
C1_03240W_A	C1_03240W_B
C1_03250C_A	C1_03250C_B
C1_03260W_A	C1_03260W_B
C1_03270W_A	C1_03270W_B
C1_03280W_A	C1_03280W_B
C1_03290W_A	C1_03290W_B
C1_03300C_A	C1_03300C_B
C1_03310W_A	C1_03310W_B
C1_03320C_A	C1_03320C_B
C1_03330C_A	C1_03330C_B
C1_03340C_A	C1_03340C_B
C1_03350C_A	C1_03350C_B
C1_03360W_A	C1_03360W_B
C1_03370W_A	C1_03370W_B
C1_03380W_A	C1_03380W_B
C1_03390W_A	C1_03390W_B
C1_03400W_A	C1_03400W_B
C1_03410W_A	C1_03410W_B
C1_03430W_A	C1_03430W_B
C1_03440C_A	C1_03440C_B
C1_03450C_A	C1_03450C_B
C1_03460C_A	C1_03460C_B
C1_03470C_A	C1_03470C_B
C1_03480C_A	C1_03480C_B
C1_03490W_A	C1_03490W_B
C1_03500W_A	C1_03500W_B
C1_03510C_A	C1_03510C_B
C1_03520W_A	C1_03520W_B
C1_03530W_A	C1_03530W_B
C1_03540C_A	C1_03540C_B
C1_03550C_A	C1_03550C_B
C1_03560C_A	C1_03560C_B
C1_03580W_A	C1_03580W_B
C1_03600W_A	C1_03600W_B
C1_03610C_A	C1_03610C_B
C1_03620C_A	C1_03620C_B	C1_06460C_B	C1_06460C_A
C1_03630W_A	C1_03630W_B
C1_03640C_A	C1_03640C_B
C1_03650C_A	C1_03650C_B
C1_03660W_A	C1_03660W_B
C1_03670C_A	C1_03670C_B
C1_03680W_A	C1_03680W_B
C1_03690W_A	C1_03690W_B
C1_03710C_A	C1_03710C_B
C1_03720C_A	C1_03720C_B
C1_03730C_A	C1_03730C_B
C1_03740W_A	C1_03740W_B
C1_03750W_A	C1_03750W_B
C1_03760C_A	C1_03760C_B
C1_03770W_A	C1_03770W_B
C1_03780C_A	C1_03780C_B
C1_03790C_A	C1_03790C_B
C1_03800W_A	C1_03800W_B
C1_03810C_A	C1_03810C_B
C1_03820W_A	C1_03820W_B
C1_03830C_A	C1_03830C_B
C1_03840W_A	C1_03840W_B
C1_03860C_A	C1_03860C_B
C1_03870C_A	C1_03870C_B
C1_03880C_A	C1_03880C_B
C1_03890W_A	C1_03890W_B
C1_03900W_A	C1_03900W_B
C1_03910C_A	C1_03910C_B
C1_03920C_A	C1_03920C_B
C1_03930W_A	C1_03930W_B
C1_03940W_A	C1_03940W_B
C1_03950C_A	C1_03950C_B
C1_03960C_A	C1_03960C_B
C1_03970W_A	C1_03970W_B
C1_03980W_A	C1_03980W_B
C1_03990W_A	C1_03990W_B
C1_04000C_A	C1_04000C_B
C1_04010C_A	C1_04010C_B
C1_04020C_A	C1_04020C_B
C1_04030W_A	C1_04030W_B
C1_04040C_A	C1_04040C_B
C1_04050C_A	C1_04050C_B
C1_04060W_A	C1_04060W_B
C1_04070C_A	C1_04070C_B
C1_04080W_A	C1_04080W_B
C1_04090C_A	C1_04090C_B
C1_04100C_A	C1_04100C_B
C1_04110W_A	C1_04110W_B
C1_04130W_A	C1_04130W_B
C1_04140W_A	C1_04140W_B
C1_04150C_A	C1_04150C_B
C1_04160C_A	C1_04160C_B
C1_04170C_A	C3_03910W_B	C3_03910W_A	C1_04170C_B
C1_04180W_A	C1_04180W_B	C3_03900C_B	C3_03900C_A
C1_04190C_A	C1_04190C_B
C1_04200C_A	C1_04200C_B
C1_04210C_A	C1_04210C_B
C1_04220C_A	C1_04220C_B
C1_04230W_A	C1_04230W_B
C1_04240C_A	CR_06800C_A	C1_04240C_B	CR_06800C_B
C1_04250C_A	C1_04250C_B
C1_04260W_A	CR_06810W_A	CR_06810W_B	C3_07090W_B	C3_07090W_A	C1_04260W_B
C1_04270C_A	C1_04270C_B
C1_04280C_A	C1_04280C_B
C1_04290C_A	C1_04290C_B
C1_04300C_A	C1_04300C_B	C1_13480W_A	C1_13480W_B
C1_04310C_A	C1_04310C_B
C1_04320W_A	C1_04320W_B
C1_04330W_A	C1_04330W_B
C1_04340C_A	C1_04340C_B
C1_04350C_A	C1_04350C_B
C1_04360C_A	C1_04360C_B
C1_04370C_A	C1_04370C_B
C1_04380W_A	C1_04380W_B
C1_04390C_A	C1_04390C_B
C1_04400C_A	C1_04400C_B
C1_04410C_A	C1_04410C_B
C1_04420C_A	C1_04420C_B
C1_04430C_A	C1_04430C_B
C1_04440W_A	C1_04440W_B
C1_04450C_A	C1_04450C_B
C1_04460C_A	C1_04460C_B
C1_04470C_A	C1_04470C_B
C1_04480C_A	C1_04480C_B
C1_04490W_A	C1_04490W_B
C1_04500W_A	C1_04500W_B
C1_04510W_A	C1_04510W_B
C1_04530C_A	C1_04530C_B
C1_04540C_A	C1_04540C_B
C1_04550W_A	C1_04550W_B
C1_04560W_A	C1_04560W_B
C1_04570C_A	C1_04570C_B
C1_04580C_A	C1_04580C_B
C1_04590W_A	C1_04590W_B
C1_04600C_A	C1_04600C_B
C1_04610W_A	C1_04610W_B
C1_04620W_A	C1_04620W_B
C1_04630C_A	C1_04630C_B
C1_04640W_A	C1_04640W_B
C1_04650W_A	C1_04650W_B
C1_04660W_A	C1_04660W_B
C1_04670W_A	C1_04670W_B
C1_04680W_A	C1_04680W_B
C1_04690C_A	C1_04690C_B
C1_04700C_A	C1_04700C_B
C1_04710C_A	C1_04710C_B
C1_04720W_A	C1_04720W_B
C1_04730C_A	C2_04460W_B	C1_04730C_B	C2_04460W_A
C1_04740W_A	C1_04740W_B
C1_04750W_A	C1_04750W_B
C1_04760C_A	C1_04760C_B
C1_04770C_A	C1_04770C_B
C1_04780C_A	C1_04780C_B
C1_04790W_A	C1_04790W_B
C1_04800C_A	C1_04800C_B
C1_04810W_A	C1_04810W_B
C1_04820C_A	C1_04820C_B
C1_04830W_A	C1_04830W_B
C1_04840C_A	C1_04840C_B
C1_04850C_A	C1_04850C_B
C1_04860W_A	C1_04860W_B
C1_04870W_A	C1_04870W_B
C1_04880C_A	C1_04880C_B
C1_04890W_A	C1_04890W_B
C1_04900W_A	C1_04900W_B
C1_04910C_A	C1_04910C_B
C1_04930C_A	C1_04930C_B
C1_04940C_A	C1_04940C_B
C1_04950C_A	C1_04950C_B
C1_04960C_A	C1_04960C_B
C1_04970W_A	C1_04970W_B
C1_04980C_A	C1_04980C_B
C1_04990C_A	C1_04990C_B
C1_05000W_A	C1_05000W_B
C1_05010C_A	C1_05010C_B
C1_05020C_A	C1_05020C_B
C1_05030C_A	C1_05030C_B
C1_05050C_A	C1_05050C_B
C1_05060W_A	C1_05060W_B
C1_05070C_A	C1_05070C_B
C1_05080W_A	C1_05080W_B
C1_05090W_A	C1_05090W_B
C1_05100W_A	C1_05100W_B
C1_05110C_A	C1_05110C_B
C1_05120W_A	C1_05120W_B
C1_05130W_A	C1_05130W_B
C1_05140W_A	C1_05140W_B
C1_05150C_A	C1_05150C_B
C1_05160C_A	C1_05160C_B
C1_05170C_A	C1_05170C_B
C1_05180C_A	C1_05180C_B
C1_05190C_A	C1_05190C_B
C1_05200C_A	C1_05200C_B
C1_05210C_A	C1_05210C_B
C1_05220C_A	C1_05220C_B
C1_05230W_A	C1_05230W_B
C1_05240C_A	C1_05240C_B
C1_05250W_A	C1_05250W_B
C1_05260C_A	C1_05260C_B
C1_05270C_A	C1_05270C_B
C1_05280W_A	C1_05280W_B
C1_05290W_A	C1_05290W_B
C1_05300C_A	C1_05300C_B
C1_05320C_A	C1_05320C_B
C1_05330C_A	C1_05330C_B
C1_05340C_A	C1_05340C_B
C1_05350W_A	C1_05350W_B
C1_05360C_A	C1_05360C_B
C1_05370C_A	C1_05370C_B
C1_05380C_A	C1_05380C_B
C1_05390C_A	C1_05390C_B
C1_05400C_A	C1_05400C_B
C1_05410C_A	C1_05410C_B
C1_05420W_A	C1_05420W_B
C1_05440C_A	C1_05440C_B
C1_05450W_A	C1_05450W_B
C1_05460W_A	C1_05460W_B
C1_05470W_A	C1_05470W_B
C1_05480C_A	C1_05480C_B
C1_05490C_A	C1_05490C_B
C1_05500W_A	C1_05500W_B
C1_05510C_A	C1_05510C_B
C1_05520W_A	C1_05520W_B
C1_05530C_A	C1_05530C_B
C1_05540C_A	C1_05540C_B
C1_05560W_A	C1_05560W_B
C1_05600W_A	C1_05600W_B
C1_05610W_A	C1_05610W_B
C1_05620C_A	C1_05620C_B
C1_05630C_A	C1_05630C_B
C1_05640C_A	C1_05640C_B
C1_05650W_A	C1_05650W_B
C1_05660C_A	C1_05660C_B
C1_05670W_A	C1_05670W_B
C1_05680C_A	C1_05680C_B
C1_05690C_A	C1_05690C_B
C1_05700W_A	C1_05700W_B
C1_05710C_A	C1_05710C_B
C1_05720W_A	C1_05720W_B
C1_05740C_A	C1_05740C_B
C1_05750C_A	C1_05750C_B
C1_05760C_A	C1_05760C_B
C1_05770C_A	C1_05770C_B
C1_05780W_A	C1_05780W_B
C1_05790W_A	C1_05790W_B
C1_05800C_A	C1_05800C_B
C1_05810W_A	C1_05810W_B
C1_05820C_A	C1_05820C_B
C1_05830W_A	C1_05830W_B
C1_05840W_A	C1_05840W_B
C1_05850W_A	C1_05850W_B
C1_05860W_A	C1_05860W_B
C1_05870W_A	C1_05870W_B
C1_05880W_A	C1_05880W_B
C1_05890W_A	C1_05890W_B
C1_05900W_A	C1_05900W_B
C1_05910W_A	C1_05910W_B
C1_05920W_A	C1_05920W_B
C1_05930C_A	C1_05930C_B
C1_05940W_A	C1_05940W_B
C1_05950C_A	C1_05950C_B
C1_05960W_A	C1_05960W_B
C1_05970W_A	C1_05970W_B
C1_05980W_A	C1_05980W_B
C1_05990C_A	C1_05990C_B
C1_06000W_A	C1_06000W_B
C1_06010W_A	C1_06010W_B
C1_06020W_A	C1_06020W_B
C1_06030C_A	C1_06030C_B
C1_06040W_A	C1_06040W_B
C1_06050C_A	C1_06050C_B
C1_06060C_A	C1_06060C_B
C1_06070W_A	C1_06070W_B
C1_06080C_A	C1_06080C_B
C1_06090C_A	C1_06090C_B
C1_06100C_A	C1_06100C_B
C1_06110C_A	C1_06110C_B
C1_06120C_A	C1_06120C_B
C1_06130C_A	C1_06130C_B
C1_06140C_A	C1_06140C_B
C1_06150W_A	C1_06150W_B
C1_06160W_A	C1_06160W_B
C1_06190C_A	C1_06190C_B
C1_06200W_A	C1_06200W_B
C1_06210W_A	C1_06210W_B
C1_06220C_A	C1_06220C_B
C1_06230C_A	C1_06230C_B
C1_06250W_A	C5_03210C_A	C5_03210C_B	C1_06250W_B
C1_06260W_A	C1_06260W_B
C1_06270W_A	C1_06270W_B
C1_06280C_A	C1_06280C_B
C1_06290C_A	C1_06290C_B
C1_06320W_A	C1_06320W_B
C1_06330W_A	C1_06330W_B
C1_06340W_A	C1_06340W_B
C1_06360W_A	C1_06360W_B
C1_06370C_A	C1_06370C_B
C1_06380C_A	C1_06380C_B
C1_06390W_A	C1_06390W_B
C1_06400C_A	C1_06400C_B
C1_06410W_A	C1_06410W_B
C1_06420C_A	C1_06420C_B
C1_06430C_A	C1_06430C_B
C1_06440C_A	C1_06440C_B
C1_06450C_A	C1_06450C_B
C1_06470W_A	C1_06470W_B
C1_06480C_A	C1_06480C_B
C1_06500W_A	C1_06500W_B
C1_06510C_A	C1_06510C_B
C1_06520C_A	C1_06520C_B
C1_06530C_A	C1_06530C_B
C1_06540C_A	C1_06540C_B
C1_06550W_A	C1_06550W_B
C1_06560W_A	C1_06560W_B
C1_06570W_A	C1_06570W_B
C1_06580W_A	C1_06580W_B
C1_06590C_A	C1_06590C_B
C1_06600W_A	C1_06600W_B
C1_06610C_A	C1_06610C_B
C1_06620C_A	C1_06620C_B
C1_06630W_A	C1_06630W_B
C1_06640C_A	C1_06640C_B
C1_06650W_A	C1_06650W_B
C1_06660W_A	C1_06660W_B
C1_06670W_A	C1_06670W_B
C1_06680W_A	C1_06680W_B
C1_06690W_A	C1_06690W_B
